,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (AMD),Supply,Updated
59,<a href=https://cryptocompare.com/coins/theta/overview>THETA</a>,<a href=https://cryptocompare.com/coins/theta/overview>Theta</a>,497.48,<p class=green>+0.12</p>,<p class=red>-0.29</p>,"7,194,386,066.0","497,478,281,978.0","1,000,000,000.0",2022-07-16 14:39:18
60,<a href=https://cryptocompare.com/coins/rune/overview>RUNE</a>,<a href=https://cryptocompare.com/coins/rune/overview>Thorchain</a>,930.49,<p class=green>+0.1</p>,<p class=red>-4.65</p>,"28,949,302,505.0","465,245,037,290.0","500,000,000.0",2022-07-16 14:39:28
61,<a href=https://cryptocompare.com/coins/hnt/overview>HNT</a>,<a href=https://cryptocompare.com/coins/hnt/overview>Helium</a>,"3,729.97",<p class=green>+0.05</p>,<p class=red>-1.6</p>,"1,260,520,043.0","460,861,379,932.0","123,556,188.0",2022-07-16 14:39:42
62,<a href=https://cryptocompare.com/coins/xch/overview>XCH</a>,<a href=https://cryptocompare.com/coins/xch/overview>Chia</a>,"17,443.35",<p class=red>-0.1</p>,<p class=green>+0.98</p>,"831,053,607.0","445,325,117,969.0","25,529,793.0",2022-07-16 14:40:12
63,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,415.74,<p class=red>-0.09</p>,<p class=red>-0.13</p>,"20,443,317,509.0","440,711,799,790.0","1,060,071,967.0",2022-07-16 14:40:27
64,<a href=https://cryptocompare.com/coins/grt/overview>GRT</a>,<a href=https://cryptocompare.com/coins/grt/overview>The Graph</a>,42.12,<p class=green>+0.0</p>,<p class=green>+0.85</p>,"4,167,729,304.0","438,536,867,081.0","10,412,368,135.0",2022-07-16 14:39:42
65,<a href=https://cryptocompare.com/coins/xdc/overview>XDC</a>,<a href=https://cryptocompare.com/coins/xdc/overview>Xinfin Network</a>,11.57,<p class=red>-1.51</p>,<p class=green>+1.56</p>,"699,579,324.0","436,453,417,239.0","37,705,012,698.0",2022-07-16 14:40:14
66,<a href=https://cryptocompare.com/coins/bsv/overview>BSV</a>,<a href=https://cryptocompare.com/coins/bsv/overview>Bitcoin SV</a>,"22,563.27",<p class=green>+0.0</p>,<p class=green>+0.16</p>,"3,048,723,692.0","431,312,479,906.0","19,115,689.0",2022-07-16 14:40:29
67,<a href=https://cryptocompare.com/coins/1inch/overview>1INCH</a>,<a href=https://cryptocompare.com/coins/1inch/overview>1inch</a>,277.99,<p class=green>+0.87</p>,<p class=red>-0.83</p>,"5,928,251,426.0","416,984,212,369.0","1,500,000,000.0",2022-07-16 14:39:51
68,<a href=https://cryptocompare.com/coins/chz/overview>CHZ</a>,<a href=https://cryptocompare.com/coins/chz/overview>Chiliz</a>,45.59,<p class=green>+0.0</p>,<p class=green>+0.79</p>,"15,522,981,091.0","405,240,547,059.0","8,888,888,888.0",2022-07-16 14:40:13
69,<a href=https://cryptocompare.com/coins/ht/overview>HT</a>,<a href=https://cryptocompare.com/coins/ht/overview>Huobi Token</a>,"1,961.6",<p class=green>+0.5</p>,<p class=green>+1.52</p>,"2,312,065,325.0","406,738,579,864.0","207,350,657.0",2022-07-16 14:40:23
70,<a href=https://cryptocompare.com/coins/ar/overview>AR</a>,<a href=https://cryptocompare.com/coins/ar/overview>Arweave</a>,"6,236.51",<p class=red>-0.03</p>,<p class=green>+3.93</p>,"5,693,056,939.0","402,870,054,147.0","64,598,643.0",2022-07-16 14:40:12
71,<a href=https://cryptocompare.com/coins/ens/overview>ENS</a>,<a href=https://cryptocompare.com/coins/ens/overview>Ethereum Name Service</a>,"3,932.99",<p class=green>+0.02</p>,<p class=red>-0.29</p>,"6,453,315,581.0","393,299,010,470.0","100,000,000.0",2022-07-16 14:40:31
